Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,arousal,bluegrass,blues,bossa nova,choral,classical,Condition_Id,country,dance_remix,edm,factor1_tg1_task0,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,,r_and_b,rap,rock,salsa,self_description,valence,vintage,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
1,block_1,1,consent,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2023-02-01T15:33:35.000Z,592318,group_1,677700,session_1,1,2023-02-01T15:32:42.000Z,,,,not measured,,TRUE
1,block_1,1,consent,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2023-02-01T17:40:15.000Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54.000Z,,,,not measured,,TRUE
1,block_1,2,instructions,1,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,yes,,,2023-02-01T17:40:15.000Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,1,23,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,yes,,,2023-02-01T17:40:15.000Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,2,42,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,yes,,,2023-02-01T17:40:15.000Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,3,31,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,yes,,,2023-02-01T17:40:15.000Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,4,33,,,,,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,yes,,,2023-02-01T17:40:15.000Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,5,44,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,yes,,,2023-02-01T17:40:15.000Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,6,22,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,yes,,,2023-02-01T17:40:15.000Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,7,2,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,yes,,,2023-02-01T17:40:15.000Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,8,45,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,yes,,,2023-02-01T17:40:15.000Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,9,40,,,,,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,yes,,,2023-02-01T17:40:15.000Z,592384,group_1,677781,session_1,1,2023-02-01T17:11:54.000Z,,,,not measured,,TRUE
